product_id,marketplace,rating,advantage,disadvantage,comment
1099137205,ozon,5,,,"Я осталась в восторге от миостимулятора Dykemann Intension MS-77! Этот удивительный прибор - настоящее спасение для моих мышц. Сразу хочу отметить высокое качество товара. 14 гипоаллергенных электродов позволяют использовать миостимулятор без каких-либо негативных последствий для кожи. Это было для меня важно, так как у меня довольно чувствительная кожа.
Миостимулятор сочетает в себе TENS и EMS стимуляцию - это дает широкие возможности для отдыха и восстановления мышц или же для интенсивного тренинга. 24 вида массажа и 20 уровней интенсивности позволяют подобрать оптимальную программу для любых целей.
Отдельно стоит отметить пояс и тапочки для миостимуляции, которые идеально дополняют функционал устройства. Это позволяет использовать миостимулятор в любое удобное время и в любом месте.
После использования миостимулятора я почувствовала невероятное облегчение и расслабление в своих мышцах. Ранее я страдала от хронических болей в спине, но благодаря Dykemann Intension MS-77 у меня появилась возможность чувствовать себя комфортно. Спасибо производителям за создание такого потрясающего миостимулятора! Я в восторге от результатов, которые он приносит, и с уверенностью могу порекомендовать Dykemann Intension MS-77 всем, кто заботится о своем здоровье и хочет наслаждаться удобством домашней миостимуляции."
1099137205,ozon,5,,,"Классный прибор! Я его использовала после травмы, и в домашних условиях очень быстро снимает боль в суставах, мышцах. Рекомендую!!!"
1099137205,ozon,5,,,работает.
1099137205,ozon,5,,,"Свой функционал выполняет, пока в процессе его грамотного использования. Базово все довольно не плохо."
1099137205,ozon,5,,,"Качественный товар. Боли в мышцах снял, несколько режимов очень удобно подбирать под конкретные задачи"
1099137205,ozon,5,,,"хорошая штука, не ожидал. Скептически относился к такого рода аппаратам. Оказалось что реально помогает. Расслабляет мышцы, а от этого уменьшается и проходит боль.
Только руководство кривое... Толстое, но неинформативное."
1099137205,ozon,5,,,"Качественный товар. Попробовал, помогает"
1099137205,ozon,5,,,"вещь прикольная , наигрался быстро и лежит без дела)))"
1099137205,ozon,5,,,"Одно замечание, - крепление пояса тесьмой с неудобными липучками, напрягает. Переделаю на ременное регулируемое крепление. 
А так аппарат работает, впечатления позитивные! Ожидания оправдались."
1099137205,ozon,5,,,"Хорошая вещь,если правильно пользоваться помогает."
1099137205,ozon,5,,,"Заказала , так как хотела именно его !!! Пробовала ! Знаю что работает на все 100. Но мне пришел б/у( даже упаковка была повреждена ( 
Я снова закажу его обязательно ! Это точно лучший миостимулятор"
1099137205,ozon,4,,,хорошее качество.быстрая доставка.
1099137205,ozon,5,,,при спазмах в мышцах мне помогло.
1099137205,ozon,5,,,"Хорошо так отрабатывает, мышцы сокращаются."
1099137205,ozon,5,,,соответствует заявленным характеристикам. очень удобно пользоваться.
1099137205,ozon,5,,,"Очень хороший массажер, много режимов, держит зарядку."
1099137205,ozon,1,,,"Пришли пластины без миостимулятора, обман"
1099137205,ozon,5,,,"Рад до соплей, ачумееный прибор!!! Справляется даже с тремя меж позвоночными грыжами! Думал что так фигня, а оказалось просто супер. После применения можно аж бегать :)))"
1099137205,ozon,5,,,Отличная вещь
