id,name,price,rating,feedbacks,brand,power_type,zones
221329577,Миостимулятор 36 программ антицеллюлитный для похудения,2052.0,4.9,1021,,USB; от аккумулятора,ноги; спина; тело
334678554,Миостимулятор 48 программ массажер для похудения,4196.0,4.9,1021,,от аккумулятора,тело
221352035,Миостимулятор 36 программ массажер для похудения,1847.0,4.9,1021,,от аккумулятора,тело
91028354,Миостимулятор массажер импульсный электрический для тела,2543.0,4.6,561,AShop,220В (5А); 3 батарейки ААА; USB-шнур,ноги; пресс; тело
169351017,"Миостимулятор FZ-1 ""ШУБОШИ"" для мышц",3986.0,4.9,365,SHUBOSHI,от аккумулятора; от сети,Лицо / Тело / Руки / Ноги / Спина / Живот / Кожа
251013688,"Миостимулятор FZ-2 ""ШУБОШИ"" для мышц",4001.0,4.9,365,SHUBOSHI,от аккумулятора,Лицо / Тело / Руки / Ноги / Спина / Живот / Кожа
141376926,Миостимулятор электрический для тела и для похудения,3565.0,4.9,343,REMASO,USB; от сети,шея; спина; ноги
35995950,"Миостимулятор FZ-1 ""ШУБОШИ"" для мышц",3846.0,4.9,545,SHUBOSHI,,Лицо / Тело / Руки / Ноги / Спина / Живот / Кожа
143533250,"Массажер миостимулятор для тела, спины, шеи и поясницы",2867.0,4.7,2166,TARGO,от аккумулятора; от сети,спина; тело; ноги
198641294,Миостимулятор Массажер электрический Тренажер для пресса,509.0,4.3,1187,Missis A,от батареек,ноги; живот; руки
178910159,Импульсный миостимулятор для лечения всего тела JR-309A,1165.0,4.6,1281,AllerShop,от сети; от батареек,тело; спина; руки
43996867,Массажер миостимулятор для тела электрический,621.0,4.6,2748,"Ура, приехало!",от сети; от батареек,спина; тело; шея
148830492,Массажер для тела Миостимулятор электрический импульсный,2115.0,4.6,442,Dizezo,220В (5А); 3 батарейки ААА; USB-шнур,"для шеи, для головы, для ног"
250135346,Мышечный миостимулятор электрический массажер для тела,1199.0,4.6,698,ROASTERS,"Usb, от сети",шея; тело; спина
141936084,Миостимулятор для тела и и пресса,361.0,4.3,8854,nazare,USB,"ноги, руки, живот, поясница, шея, бедра, лицо; Плечи / Шея / Спина / Ягодицы; позвоночника, пресса, груди, икры, под коленом, ступни"
291888914,Спортивный массажер миостимулятор для тела электрический,2792.0,4.7,2166,TARGO,от аккумулятора; от сети,живот; ягодицы; бедра
312901930,"Миостимулятор для пресса и рук, массажер для тела",638.0,4.6,1772,Furellia,от батареек,живот; руки; тело
44081627,Миостимулятор для пресса тренажер ABS Trainer MIO,5012.0,4.7,1504,Yamaguchi,5 В; от аккумулятора; без питания,пресс; живот; тело
236596238,"Электростимулятор для мышц, массажер миостимулятор",818.0,4.6,1772,FURVIREA,,спина; тело; руки
250133162,"Миостимулятор 36 программ, антицеллюлитный для похудения",1896.0,4.6,698,ROASTERS,USB; от аккумулятора,"ноги, спина, тело"
114150729,Аппарат миостимуляции B-333,11108.0,4.7,302,Estetik Beauty Body,от сети,для тела; для всего тела; для груди
346462615,"Массажер миостимулятор Incentivo, 36 режимов",2450.0,4.6,698,ROASTERS,от аккумулятора,
328814914,Тренажер-миостимулятор для тазового дна и пресса для женщин,3693.0,4.9,243,Excellent Style,USB,живот; интимная зона; тело
260607223,Реабилитационный тренажер для рук и ног после инсульта,2447.0,4.8,556,ReBalance,,
192370914,Массажер для шеи и плеч электрический миостимулятор,2235.0,4.6,292,,встроенный аккумулятор,шея; шейно-воротниковая зона
159323506,Массажер для лица микротоковый бандаж электрический,1990.0,4.6,999,Vilab,USB; от аккумулятора; от сети,лицо; тело; подбородок
343099404,Физиотерапевтический аппарат миостимулятор электрический,4453.0,4.6,698,ROASTERS,от сети,"голова, шея; поясница, спина, ступни"
61124788,Миостимулятор EMS-750 тренажер массажер,5709.0,4.8,3276,Planta,220 В,Плечи / Шея / Спина / Ягодицы; Спина / Живот / Поясница
318374112,Массажер миостимулятор для всего тела электрический,1742.0,4.6,570,KEP Ko,USB; от аккумулятора; от сети,тело
236420653,Миостимулятор массажер для тела электрический,915.0,4.6,2748,"Ура, приехало!",USB; от сети,шея; спина; живот
314416549,Массажер электрический миостимулятор,5097.0,4.5,1151,Evo sante,от сети; от батареек,ноги; пресс; тело
313622916,"Миостимулятор для тела, массажер для спины",1346.0,4.6,1772,Furellia,,стопы; тело; спина
104503339,Массажер миостимулятор для тела EMS-300,3032.0,4.8,3276,Planta,от батареек,"Спина и конечности; Тело спина поясница живот; Ягодицы, Ноги, Стопы"
264221158,Миостимулятор для тела с лор насадкой,1668.0,4.6,1772,Furellia,USB,
160527057,Электрический миостимулятор для тела и мышц,965.0,4.6,570,KEP Ko,от аккумулятора,тело
108786610,Массажер электрический миостимулятор,1409.0,4.5,1151,Evo sante,от сети; от батареек,живот; бедра; тело
315057523,миостимулятор массажер электрический,449.0,4.5,342,,от батареек; от сети,бедра; живот; ягодицы
318375411,Массажер миостимулятор для всего тела электрический,868.0,4.6,570,KEP Ko,USB; от аккумулятора; от сети,тело
366132108,Массажер миостимулятор микротоковый бабочка,590.0,4.9,766,,от аккумулятора; от батареек; от сети,тело; живот; спина
217790915,Миостимулятор массажер импульсный электрический для лица,603.0,4.7,764,The Basket,2 батареи ААА,зона вокруг глаз; лицо
44096937,Миостимулятор для шеи и поясницы NECK Trainer MIO,4513.0,4.7,1504,Yamaguchi,от аккумулятора; Литиевая аккумуляторная батарея,плечи; спина; шея
171541891,Миостимулятор массажер для терапии,503.0,4.4,524,Lieblich Hause,от сети; от батареек; USB (в комплекте),тело; руки и ноги; спина пресс руки и ноги для пресса
312901173,"Миостимулятор для тела, массажер для спины",579.0,4.6,1772,Furellia,,
264135194,Массажер для похудения живота миостимулятор для пресса пояс,698.0,4.1,1755,Plantos,от аккумулятора; от сети,живот; тело; спина
178777119,Массажер миостимулятор тренажер,472.0,4.5,929,YOUR&STORE,USB; от батареек; от сети,бедра; живот; плечи
20880491,Миостимулятор EMS-200 тренажер для пресса,2174.0,4.8,3276,Planta,от батареек; USB,"Спина и конечности; Ягодицы, Ноги, Стопы; Тело спина поясница живот"
399491740,Массажер для тела микротоковый,486.0,4.7,753,Массажер электрический,от аккумулятора,тело; мышцы; руки
183867687,для спины шеи тела ног электрический,500.0,4.5,341,Миостимулятор массажер,от батареек; от сети,бедра; живот; плечи
209568635,Миостимулятор массажер тренажер для тела пресса и рук,582.0,5.0,2,Missis A,,бедра; живот; ноги
204716562,Миостимулятор,883.0,4.5,1776,FURVIREA,,
239622627,Миостимулятор для всего тела,406.0,4.3,2245,classic trends,,живот; ноги; руки
253495405,Массажер женский миостимулятор для увеличения и роста груди,2197.0,4.6,561,AShop,от батареек,грудь; молочная железа; грудная клетка
394606252,Электрический миостимулятор для тела и мышц,2449.0,4.6,570,KEP Ko,от аккумулятора,тело
362178861,Микротоковый массажер для лица и тела,1795.0,4.8,1959,BodyRave,от сети,лицо; тело; зона вокруг глаз
27541382,Миостимулятор EMS-350 тренажер массажер,2687.0,4.8,3276,Planta,220 В,"Спина и конечности; Тело, Бёдра, Ноги, Плечи, Бока, Руки"
204010629,миостимулятор массажер электрический,449.0,4.5,342,весна з,от батареек; от сети,бедра; живот; плечи
44696286,Массажер для шеи и плеч миостимулятор электрический,991.0,4.7,2445,Ortech,USB кабель (В комплекте); от аккумулятора; USB,спина; шейный отдел позвоночника; воротниковая зона
51787540,Миостимулятор массажер электрический,1411.0,4.6,872,Evo sante,от сети; от батареек,живот; бедра; тело
236802936,Виброплатформа тренажер для похудения,5539.0,4.9,854,P&F,от сети; Bluetooth,ноги; живот; ягодицы
258435392,Миостимулятор для ног FOOT Trainer MIO,7946.0,4.7,1504,Yamaguchi,,ноги; тело; бедра
269273309,"Миостимулятор для пресса, пояс для пресса",981.0,4.6,1772,Furellia,USB,живот; спина; тело
220795333,Миостимулятор Pelvifine тазового дна,4474.0,4.6,698,ROASTERS,от батареек,
394600906,Электрический миостимулятор для тела,4327.0,4.6,570,KEP Ko,от батареек,тело
141319553,Массажер для шеи тела импульсный миостимулятор электрический,1037.0,4.7,1801,Ortech,USB кабель (В комплекте),спина; тело; шея
14154692,"Пояс-миостимулятор для похудения, тренажер пресса M10",3708.0,4.6,322,Gezatone,"Батарея ААА, 2 шт",бедра; пресс; живот
231332321,Массажер для похудения живота миостимулятор для пресса пояс,880.0,4.1,1755,Plantos,от аккумулятора; от сети,живот; тело; спина
397300881,Массажер перкуссионный электрический вибромассажер,2271.0,4.9,387,Massager gun,от аккумулятора,ноги; тело; руки
245525396,Миостимулятор для мышц тазового дна,4591.0,4.6,698,ROASTERS,,
173241584,Косметический микротоковый вибромассажер для лица,1646.0,4.4,352,Dimarket,USB; от аккумулятора,овал лица; подбородок; лицо
259347584,Тренажер-миостимулятор для тазового дна и пресса для женщин,3461.0,4.9,243,Excellent Style,USB,живот; интимная зона; тело
204511996,Миостимулятор массажер для всего тела,1651.0,4.8,325,,от батареек; от сети,плечи; спина; тело
369001845,Миостимулятор массажер для лица и тела электрический,710.0,5.0,2,RuMir,от сети,лицо; тело
263006628,массажер перкуссионный электрический,1318.0,4.8,9073,GRAND,от аккумулятора,"тело,ноги,шея"
286626694,"Массажер для шеи, спины и тела",1909.0,4.9,1311,ATLAS M,USB; от аккумулятора,шея; спина; ягодицы
258613995,Массажер миостимулятор вакуумный антицеллюлитный для тела,3009.0,4.8,384,DolcePeach,USB; от аккумулятора,бедра; живот; руки
217653354,Миостимулятор массажер импульсный электрический для тела,1148.0,4.7,764,The Basket,220В (5А); USB-шнур; 3 батарейки тип АА,"шея, голова; ноги,руки,живот; остеохондроз аппарат"
278820954,Массажер миостимулятор бабочка,560.0,4.7,753,Массажер электрический,от аккумулятора,спина; тело; мышцы
340459341,Массажер бабочка,412.0,4.7,753,Массажер электрический,от аккумулятора,спина; тело; мышцы
259612238,Массажер для шеи и спины электрический импульсный,636.0,4.2,217,МириКи,от батареек,спина; шейный отдел позвоночника; воротниковая зона
165741322,Миостимулятор массажер для тела и мышц,287.0,4.4,689,TandemSHOP,Встроенный аккумулятор,"ноги, руки, живот, поясница, шея, бедра, лицо; Плечи / Шея / Спина / Ягодицы; позвоночника, пресса, груди, икры, под коленом, ступни"
52241526,Массажер косметический электрический тренажер для пресса,1392.0,4.0,1040,TechZonech ADENIS,,
196843983,"Миостимулятор для пресса, пояс для похудения",716.0,4.2,1000,FURVIREA,USB,живот
241182990,Миостимулятор пояс для пресса,474.0,5.0,1,OptexpressTV,USB; от аккумулятора; поддержка и восстановление,живот; тело; спина
161953259,Косметический микротоковый вибромассажер для лица,2080.0,4.6,600,Dimarket,,овал лица; подбородок; лицо
284200562,Миостимулятор цифровой Меридиан,490.0,5.0,1,,от сети,
213710877,Миостимулятор массажер для тела Меридиан,550.0,4.4,348,Balkh Star,от сети; от батареек; USB (в комплекте),"Спина, плечи, ноги, руки, ягодицы; Живот, Талия; поясница, бедра"
327037933,Электрический массажер миостимулятор для мышц,417.0,5.0,1,Cozyshop для дома,,живот; руки; плечи
50511241,Миостимулятор для суставов электрический EM 28,3487.0,4.8,370,BEURER,Батарейки ААА - 3 шт,запястье; предплечье
