,product_id,rating,advantage,disadvantage,comment
0,143533250,5,Достоинства:Всё понравилось,"Недостатки:Не выключается экран при зарядке, всегда включен.","Комментарий:Аппарат брала для похудения и тонуса мышц. Но именно этот подкупил функцией доя носа. Благодаря этой насадке(для носа) моя дочь не болела два месяца, пережила все карантины в группе. Я не верила в эфиктивносиь этой насадки, но это чудо вещь. Сам аппарат работает хорошо, благодаря этому аппарату, диете и тренировкам я скинула 8 кг за 2 месяца. Мой невролог показала где мне его прикладывать для лечения спины, у меня удалили две межпозвоночных грыж. Для того чтобы электронные пластины прослужили долго, необходимо их очищать после применения, водой и НЕ просушивая накладывать защитную пленку и в герметичный пакет. У меня уже больше 20 применений и я еще не меняла пластины."
1,143533250,5,"Достоинства:Зарядки хватает на долго, пользуемся всей семьёй, спасибо",,
2,143533250,5,Достоинства:Отличный прибор,,
3,143533250,5,"Достоинства:Прибор отличный, каждый день с женой спорим, кто первый будет принимать электрошок. Реально снимать боль в спине в районе пояснице. Снимает усталость в мышцах ног. Рекомендую. Немаловажный фактор, правильное размещение электродов.",,
4,143533250,5,Достоинства:Всё отлично,,
5,143533250,5,Достоинства:Все работает. Брала для спины. Пока на остальных зонах не пробовала. Никак не разберусь куда прикреплять электроды.,,
6,143533250,5,,,Рекомендую
7,143533250,5,Достоинства:Работае,,Комментарий:Слабоя инструкция по применению
8,143533250,5,"Достоинства:Однозначно да! Спину расслабляет на 100 процентов. Не включайте на максимум сразу😂, долбает люто. Стоит своих денег. Продавцу спасибо огромное. Лучшее, что я пробовала от болей в спине.",,
9,143533250,5,Достоинства:Очень довольна покупкой.Хорошо помогает при болях снимает напряжение.Все работает и очень удобно пользоваться.Советую.,,
10,143533250,1,,,"Хочу дополнить, поспешила с отзывом, не до конца проверила в работе. Где то 10 секунд работает и перестаёт. Товар бракованный. 2 с лишним тысячи рублей на ветер."
11,143533250,5,,,
